capability_id	class_role_content_state	donor_commit_symbols	tortoise_impl_registration_activation	target_data_requirements	disposition	reason	dependencies	packet	scenarios	evidence	limitations	source_present	registered	selected	contract_tested	client_accepted
M0-BASELINE	Placeholder header row; replaced by census	—	—	—	implement	M0 scaffolding	—	M0	—	PROGRESS.md pins	—	no	no	no	no	no
ENGINE-DUALHOOK	Engine state-aware + vector strategy hooks	—	T: ai/playerbot/strategy/Engine.cpp:112-134 (InitMultipliers/InitTriggers both forms + dual getDefaultActions)	—	implement	Confirmed mixed interface; M2 maps/migrates each active user before retiring redundancy	M0	M2	—	EVIDENCE.md M0	—	yes	yes	yes	no	no
QUEUE-NAME-ID	Queue coalescing by action name	T: ai/playerbot/strategy/Queue.cpp:10-33	—	implement	Test repeated requests/changed targets/equal relevance before changing identity	M0	M2	—	EVIDENCE.md M0	—	yes	yes	yes	no	no
SPELL-RANK-NUMERIC	SpellId mana-save numeric-ID ordering	T: ai/playerbot/strategy/values/SpellIdValue.cpp:169-181	Turtle rank chains/custom same-name spells	implement	Validate against real Turtle rank chains; numeric IDs are not rank order	M0	M3	—	EVIDENCE.md M0	—	yes	yes	yes	no	no
CONFIG-GETVALUES-EMPTY	ConfigAccess::GetValues returns empty	T: ai/playerbot/PlayerbotAIConfig.cpp:23-26; consumer WorldBuff load :443-451	Native config facility or module-local parser	implement	Confirmed loader gap; WorldBuff config inert	F20	F20	P22	EVIDENCE.md M0	WorldBuff config has no effect	yes	yes	yes	no	no
AH-PRICE-MIRROR-EMPTY	LoadAuctionPrices clears mirror	T: runtime/PlayerbotRuntimeFacade.cpp:271-278; ItemUsageValue median/lowest/resale consumers	Bounded native read model via CORE GetAuctions	implement	Confirmed data-source gap	F09	F09	P09	EVIDENCE.md M0	Price queries always empty	yes	yes	yes	no	no
GUILDBANK-ZERO-FALSE	GuildBankAction false-return ZERO path	T: ai/playerbot/strategy/actions/GuildBankAction.cpp:11-39	Same in S under MANGOSBOT_ZERO; no native guild vaults	implement	Map only real target guild storage or record unsupported	F19	F19	—	EVIDENCE.md M0	No working vault either side	yes	yes	no	no	no
LLM-GENERATE-EMPTY	LLM Generate returns empty	T: ai/playerbot/PlayerbotLLMInterface.cpp:376-379; S Generate also empty per plan §11	No external provider; non-LLM chat required	implement	No functioning donor generator; LLM optional, never gameplay dependency	F23	F23	—	EVIDENCE.md M0	Generation disabled	yes	yes	no	no	no
KARAZHAN-DENYLIST	CMAKE KARAZHAN denylist vs Turtle content	T: TortoiseBots.cmake:179 (DEATHKNIGHT|GLYPH|VEHICLE|KARAZHAN|ARENA|RTSC|BOSSAURA); CORE native Lower/Upper/Crypt scripts (ScriptLoader.cpp:291,305)	Turtle map/mechanics review	implement	Denylist must not reject valid Turtle Karazhan; narrow guard only if needed	M0/F22	F24	P24	EVIDENCE.md M0	Needs per-file review	yes	yes	no	no	no
CAST-USEFUL-PERMISSIVE	CastSpellAction::isUseful allows unresolved spells	T: ai/playerbot/strategy/actions/GenericSpellActions.cpp:161-174; SpellCastUsefulValue.cpp:14-20	—	implement	Test missing-primary-with-fallback + alternatives before porting early rejection	M0	M3	—	EVIDENCE.md M0	Divergence confirmed, root cause unproven	yes	yes	yes	no	no
